,text
0,Test to predict breast cancer relapse is approved
1,"Two Hussein allies are hanged, Iraqi official says"
2,Sights and sounds from CES
3,Schuey sees Ferrari unveil new car
4,Closings and cancellations top advice on flu outbreak
5,Trucks swallowed in subway collapse
6,Sarkozy letter surprises French cartoons hearing
7,"Building a memorial to a son, one child at a time"
8,Lawmaker seeks iPod ban in crosswalks in New York
9,Diabetic waits months for eyeglasses
10,Sudan tells United Nations envoy to leave in 72 hours
11,5000 years on but couple still hugging
12,Defense to challenge Russert's credibility
13,"Ozzy, a Hero for the hard-rocking masses"
14,CIA leak trial summary
15,Dance movie takes over No. 1
16,Asian nations urge Myanmar reform
17,"After Iraq trip, Clinton proposes war limits"
18,7 dead in apartment building fire
19,Male sweat boosts women's hormone levels
20,Carphone Warehouse's mixed signals
21,Democrats plot Bush troop increase censure
22,Cisco sues Apple over iPhone name
23,BB star Jackson denies Goody comments
24,Inter Milan set Serie A win record
25,US Airways boosts bid for Delta
26,Press sees hope in Mecca talks
27,Bears fan loses bet and changes name
28,Global National	Major child porn ring bust
29,'Human hair' clue in hunt for airliner
30,Johnny Depp to make movie of spy poisoning
31,Really?: The claim: the pill can make you put on weight
32,5 money makeovers
33,TBS to pay $2M fine for ad campaign bomb scare
34,"""Stomp the Yard"" has winning moves in its weekend debut"
35,"Discovered boys bring shock, joy"
36,Bernhard set to leave Volkswagen
37,Pacers' Jackson misses gun hearing
38,Cases: when the simple solution is the right one
39,Two Muslim groups sue French newspaper International
40,Golden Globes on their way
41,"At New OZZFEST, Freedom Ain't Free"
42,Federer handed tough Aussie draw
43,Protesters end strike as Nepal PM concedes demands
44,"Turner pays for Boston ""bombing"""
45,Two detained in body parts mailing
46,Essay: about that mean streak of yours: psychiatry can do only so much
47,Hussein's niece pleads for father's life
48,Sarkozy heads for clash in cartoons row
49,Global web of suspects in child-rape download
50,Blake defeats Moya to retain title
51,"Storms kill, knock out power, cancel flights"
52,Aquarium puts ailing beluga whale to sleep
53,"Microsoft, Sony, we have a problem"
54,A police state? The issues
55,Move to ban iPods from crossing the street
56,India's Taj Mahal gets facelift
57,Cheney to Congress: Can't run Iraq war by committee
58,Ganguly handed India squad call-up
59,Fortune: Looking beyond the iPhone
60,Really?: The claim: the back seat of a car is the safest place to sit
61,Vaccine mandate upsets legislators
62,News analysis: Iranian boast is put to test
63,Panel issues bleak report on climate change
64,Virtual 'American Idol' hits right notes
65,"Iraq car bombings kill 22 People, wound more than 60"
66,'Stomp' steps to No. 1 at box office
67,Google executive acts as goodwill envoy
68,Filipino woman kidnapped in Nigeria
69,"Seahawks, Bears vie for shot at NFL title"
70,Brown not buried as estate issues loom
71,Will Rob Cohen Direct Third 'Mummy'?
72,EU will urge China to go green
